City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
291,lata,40.1629,-8.3327,16.560000000000002,97,69,2.53,PT,1701228239
292,nossa senhora da gloria,-10.2183,-37.4203,20.58000000000004,90,0,2.64,BR,1701228815
293,cruzeiro do sul,-29.5128,-51.9853,21.390000000000043,91,100,1.03,BR,1701228815
294,kerikeri,-35.2268,173.9474,22.730000000000018,60,26,2.24,NZ,1701228815
295,altai,46.3722,96.2583,-12.609999999999957,68,1,1.35,MN,1701228815
296,saint-joseph,-21.3667,55.6167,26.930000000000007,69,5,1.79,RE,1701228816
297,villa gesell,-37.2639,-56.973,20.720000000000027,86,88,8.12,AR,1701228816
298,san patricio,28.017,-97.5169,14.910000000000025,68,41,2.48,US,1701228302
299,najaf,31.9985,44.3398,13.870000000000005,32,100,3.98,IQ,1701228816
300,puerto santa,-8.9906,-78.6456,19.210000000000036,85,91,4.12,PE,1701228816
301,kamaishi,39.2667,141.8833,4.2000000000000455,68,70,3.11,JP,1701228826
302,axim,4.8699,-2.2405,25.74000000000001,86,51,1.41,GH,1701228766
303,jayapura,-2.5333,140.7,33.660000000000025,71,64,2.8,ID,1701228827
304,san pedro pochutla,15.7333,-96.4667,24.30000000000001,82,14,1.47,MX,1701228827
305,phan rang-thap cham,11.5667,108.9833,30.04000000000002,64,56,5.96,VN,1701228827
306,puerto deseado,-47.7503,-65.8938,14.760000000000048,40,95,15.95,AR,1701228209
307,rabo de peixe,37.8,-25.5833,16.660000000000025,99,20,1.03,PT,1701228827
308,balqash,46.8481,74.995,-0.6699999999999591,86,0,6.0,KZ,1701228827
309,qinzhou,21.95,108.6167,23.08000000000004,69,96,1.97,CN,1701228827
310,keflavik,64.0049,-22.5624,2.240000000000009,93,75,3.09,IS,1701228828
311,touros,-5.1989,-35.4608,24.860000000000014,83,89,4.24,BR,1701228841
312,pimentel,-6.8367,-79.9342,21.160000000000025,83,0,7.72,PE,1701228836
313,port saint john's,-31.6229,29.5448,20.120000000000005,66,93,8.73,ZA,1701228842
314,san jose del cabo,23.0589,-109.6977,25.410000000000025,85,3,0.45,MX,1701228842
315,xinmin,41.9908,122.8253,-7.229999999999961,47,14,7.63,CN,1701228842
316,aflou,34.1128,2.1023,8.480000000000018,57,99,3.28,DZ,1701228852
317,robore,-18.3333,-59.75,25.700000000000045,60,10,2.0,BO,1701228853
318,kristiansund,63.1115,7.732,-2.6399999999999864,63,100,5.66,NO,1701228853
319,port said,31.2565,32.2841,17.99000000000001,63,40,4.63,EG,1701228853
320,umluj,25.0213,37.2685,23.390000000000043,39,10,2.99,SA,1701228853
321,koton-karfe,8.1,6.8,25.110000000000014,72,100,1.24,NG,1701228853
322,castlegar,49.2998,-117.6689,-2.0600000000000023,84,30,0.54,CA,1701228853
323,mo i rana,66.3128,14.1428,-0.7399999999999523,64,100,2.57,NO,1701228853
324,leninskoye,41.7589,69.3864,13.54000000000002,40,100,1.4,KZ,1701228864
